temperature,time,concentration,type
7.0,52.63157894736842,218164.82685949627,预测
7.0,52.932330827067666,229398.82753704712,预测
7.0,53.233082706766915,241211.72100954253,预测
7.0,53.53383458646616,253633.33639168294,预测
7.0,53.83458646616541,266695.03967305325,预测
7.0,54.13533834586466,280429.81288549333,预测
7.0,54.43609022556391,294872.3373467888,预测
7.0,54.73684210526316,310059.0811903859,预测
7.0,55.037593984962406,326028.3914016059,预测
7.0,55.33834586466165,342820.59059214726,预测
7.0,55.639097744360896,360478.0787565784,预测
7.0,55.939849624060145,379045.44026700815,预测
7.0,56.24060150375939,398569.5563752781,预测
7.0,56.54135338345864,419099.72350585804,预测
7.0,56.84210526315789,440687.77763709874,预测
7.0,57.14285714285714,463388.22508381685,预测
7.0,57.44360902255639,487258.3800101846,预测
7.0,57.744360902255636,512358.5090187944,预测
7.0,58.045112781954884,538751.9831794356,预测
7.0,58.34586466165413,566505.437879822,预测
7.0,58.64661654135338,595688.940899979,预测
7.0,58.94736842105263,626376.169132644,预测
7.0,59.24812030075188,658644.5943936171,预测
7.0,59.54887218045113,692575.6787886618,预测
7.0,59.849624060150376,728255.0801275047,预测
7.0,60.150375939849624,765772.8679004381,预测
7.0,60.451127819548866,805223.7503594859,预测
7.0,60.751879699248114,846707.3132736407,预测
7.0,61.05263157894736,890328.2709568598,预测
7.0,61.35338345864661,936196.7301979575,预测
7.0,61.65413533834586,984428.4677536682,预测
7.0,61.95488721804511,1035145.2220998211,预测
7.0,62.25563909774436,1088475.0001709445,预测
7.0,62.556390977443606,1144552.3998558228,预测
7.0,62.857142857142854,1203518.9490555238,预测
7.0,63.1578947368421,1265523.4621514825,预测
7.0,63.45864661654135,1330722.4147740873,预测
7.0,63.7593984962406,1399280.3378077175,预测
7.0,64.06015037593984,1471370.2316152784,预测
7.0,64.36090225563909,1547174.0015154085,预测
7.0,64.66165413533834,1626882.915597586,预测
7.0,64.96240601503759,1710698.0860153844,预测
7.0,65.26315789473684,1798830.974955745,预测
7.0,65.56390977443608,1891503.9265424553,预测
7.0,65.86466165413533,1988950.725995589,预测
7.0,66.16541353383458,2091417.187435158,预测
7.0,66.46616541353383,2199161.7717870707,预测
7.0,66.76691729323308,2312456.2363226954,预测
7.0,67.06766917293233,2431586.317440128,预测
7.0,67.36842105263158,2556852.4483759436,预测
7.0,67.66917293233082,2688570.513620426,预测
7.0,67.96992481203007,2827072.641897984,预测
7.0,68.27067669172932,2972708.0396673,预测
7.0,68.57142857142857,3125843.867192794,预测
7.0,68.87218045112782,3286866.1593410126,预测
7.0,69.17293233082707,3456180.7933625057,预测
7.0,69.47368421052632,3634214.5060309004,预测
7.0,69.77443609022556,3821415.962628981,预测
7.0,70.07518796992481,4018256.8803929416,预测
7.0,70.37593984962406,4225233.209155314,预测
7.0,70.67669172932331,4442866.372060578,预测
7.0,70.97744360902256,4671704.569368253,预测
7.0,71.2781954887218,4912324.148504842,预测
7.0,71.57894736842105,5165331.043679729,预测
7.0,71.8796992481203,5431362.288540367,预测
7.0,72.18045112781954,5711087.60550972,预测
7.0,72.48120300751879,6005211.075624196,预测
7.0,72.78195488721803,6314472.892872449,预测
7.0,73.08270676691728,6639651.207226793,预测
7.0,73.38345864661653,6981564.0607573725,预测
7.0,73.68421052631578,7341071.4214265235,预测
7.0,73.98496240601503,7719077.319377249,预测
7.0,74.28571428571428,8116532.090753963,预测
7.0,74.58646616541353,8534434.734328616,预测
7.0,74.88721804511277,8973835.386448417,预测
7.0,75.18796992481202,9435837.920074329,预测
7.0,75.48872180451127,9921602.673943104,预测
7.0,75.78947368421052,10432349.318158261,预测
7.0,76.09022556390977,10969359.862798056,预测
7.0,76.39097744360902,11533981.816423247,预测
7.0,76.69172932330827,12127631.50166856,预测
7.0,76.99248120300751,12751797.535419166,预测
7.0,77.29323308270676,13408044.481394043,预测
7.0,77.59398496240601,14098016.68329611,预测
7.0,77.89473684210526,14823442.28703181,预测
7.0,78.19548872180451,15586137.460857414,预测
7.0,78.49624060150376,16388010.822675603,预测
7.0,78.796992481203,17231068.08407684,预测
7.0,79.09774436090225,18117416.921105012,预测
7.0,79.3984962406015,19049272.082116418,预测
7.0,79.69924812030075,20028960.74349828,预测
7.0,80.0,21058928.124420322,预测
7.0,80.30075187969925,22141743.372200493,预测
7.0,80.6015037593985,23280105.730280615,预测
7.0,80.90225563909775,24476851.001228582,预测
7.0,81.203007518797,25734958.31759507,预测
7.0,81.50375939849624,27057557.233878512,预测
7.0,81.80451127819549,28447935.153257024,预测
7.0,82.10526315789473,29909545.103163227,预测
7.0,82.40601503759397,31446013.87417126,预测
7.0,82.70676691729322,33061150.537053946,预测
7.0,83.00751879699247,34758955.35324247,预测
7.0,83.30827067669172,36543629.09426787,预测
7.0,83.60902255639097,38419582.78609293,预测
7.0,83.90977443609022,40391447.89453711,预测
7.0,84.21052631578947,42464086.968255274,预测
7.0,84.51127819548871,44642604.755949765,预测
7.0,84.81203007518796,46932359.814652994,预测
7.0,85.11278195488721,49338976.6260327,预测
7.0,85.41353383458646,51868358.23769432,预测
7.0,85.71428571428571,54526699.44642681,预测
7.0,86.01503759398496,57320500.54018737,预测
7.0,86.3157894736842,60256581.61540003,预测
7.0,86.61654135338345,63342097.48576991,预测
7.0,86.9172932330827,66584553.19833874,预测
7.0,87.21804511278195,69991820.17186779,预测
7.0,87.5187969924812,73572152.9718156,预测
7.0,87.81954887218045,77334206.73519577,预测
7.0,88.1203007518797,81287055.25738658,预测
7.0,88.42105263157895,85440209.75151984,预测
7.0,88.7218045112782,89803638.28937352,预测
7.0,89.02255639097744,94387785.93070535,预测
7.0,89.32330827067669,99203595.54563272,预测
7.0,89.62406015037594,104262529.33201703,预测
7.0,89.92481203007519,109576591.02672993,预测
7.0,90.22556390977444,115158348.80620201,预测
7.0,90.52631578947368,121020958.86769374,预测
7.0,90.82706766917293,127178189.6782506,预测
7.0,91.12781954887218,133644446.87327793,预测
7.0,91.42857142857142,140434798.78101003,预测
7.0,91.72932330827066,147565002.54285473,预测
7.0,92.03007518796991,155051530.79255515,预测
7.0,92.33082706766916,162911598.8493029,预测
7.0,92.63157894736841,171163192.37130064,预测
7.0,92.93233082706766,179825095.406719,预测
7.0,93.23308270676691,188916918.7684931,预测
7.0,93.53383458646616,198459128.64786524,预测
7.0,93.8345864661654,208473075.36895245,预测
7.0,94.13533834586465,218981022.1728297,预测
7.0,94.4360902255639,230006173.90461257,预测
7.0,94.73684210526315,241572705.4607261,预测
7.0,95.0375939849624,253705789.8359246,预测
7.0,95.33834586466165,266431625.59058926,预测
7.0,95.6390977443609,279777463.5383871,预测
7.0,95.93984962406014,293771632.4324326,预测
7.0,96.2406015037594,308443563.4046947,预测
7.0,96.54135338345864,323823812.8884456,预测
7.0,96.84210526315789,339944083.7271787,预测
7.0,97.14285714285714,356837244.1455423,预测
7.0,97.44360902255639,374537344.2286078,预测
7.0,97.74436090225564,393079629.5252303,预测
7.0,98.04511278195488,412500551.3595674,预测
7.0,98.34586466165413,432837773.4020443,预测
7.0,98.64661654135338,454130174.0176054,预测
7.0,98.94736842105263,476417843.8749917,预测
7.0,99.24812030075188,499742078.2665839,预测
7.0,99.54887218045113,524145363.5542789,预测
7.0,99.84962406015038,549671357.12351,预测
7.0,100.15037593984962,576364860.195321,预测
7.0,100.45112781954887,604271782.8160692,预测
7.0,100.75187969924812,633439100.3165109,预测
7.0,101.05263157894737,663914800.5075978,预测
7.0,101.3533834586466,695747820.8602133,预测
7.0,101.65413533834585,728987974.9010916,预测
7.0,101.9548872180451,763685867.0488536,预测
7.0,102.25563909774435,799892795.1132362,预测
7.0,102.5563909774436,837660639.6886401,预测
7.0,102.85714285714285,877041739.691741,预测
7.0,103.1578947368421,918088753.3230969,预测
7.0,103.45864661654134,960854503.776282,预测
7.0,103.75939849624059,1005391809.0767026,预测
7.0,104.06015037593984,1051753295.5070534,预测
7.0,104.36090225563909,1099991194.1694775,预测
7.0,104.66165413533834,1150157120.346652,预测
